owner_id;mode;vehicle_id;type_id;critair;technology;age;euro
121;car;121:car;default_car;Crit'air 1;Gazole;0;6
22160;car;22160:car;default_car;Crit'air 1;Gazole;0;6
98164;car;98164:car;default_car;Crit'air 1;Gazole;0;6
98161;car;98161:car;default_car;Crit'air 1;Gazole;0;6
98162;car;98162:car;default_car;Crit'air 1;Gazole;0;6
98163;car;98163:car;default_car;Crit'air 1;Gazole;0;6
109424;car;109424:car;default_car;Crit'air 1;Gazole;0;6
109425;car;109425:car;default_car;Crit'air 1;Gazole;0;6
109423;car;109423:car;default_car;Crit'air 1;Gazole;0;6
173510;car;173510:car;default_car;Crit'air 1;Gazole;0;6
173509;car;173509:car;default_car;Crit'air 1;Gazole;0;6
173511;car;173511:car;default_car;Crit'air 1;Gazole;0;6
221892;car;221892:car;default_car;Crit'air 1;Gazole;0;6
221891;car;221891:car;default_car;Crit'air 1;Gazole;0;6
293958;car;293958:car;default_car;Crit'air 1;Gazole;0;6
359808;car;359808:car;default_car;Crit'air 1;Gazole;0;6
359807;car;359807:car;default_car;Crit'air 1;Gazole;0;6
371136;car;371136:car;default_car;Crit'air 1;Gazole;0;6
376860;car;376860:car;default_car;Crit'air 1;Gazole;0;6
587404;car;587404:car;default_car;Crit'air 1;Gazole;0;6
587403;car;587403:car;default_car;Crit'air 1;Gazole;0;6
602542;car;602542:car;default_car;Crit'air 1;Gazole;0;6
602541;car;602541:car;default_car;Crit'air 1;Gazole;0;6
934347;car;934347:car;default_car;Crit'air 1;Gazole;0;6
934348;car;934348:car;default_car;Crit'air 1;Gazole;0;6
1010562;car;1010562:car;default_car;Crit'air 1;Gazole;0;6
1010561;car;1010561:car;default_car;Crit'air 1;Gazole;0;6
1043702;car;1043702:car;default_car;Crit'air 1;Gazole;0;6
1088539;car;1088539:car;default_car;Crit'air 1;Gazole;0;6
1088538;car;1088538:car;default_car;Crit'air 1;Gazole;0;6
1110420;car;1110420:car;default_car;Crit'air 1;Gazole;0;6
1116783;car;1116783:car;default_car;Crit'air 1;Gazole;0;6
1116782;car;1116782:car;default_car;Crit'air 1;Gazole;0;6
1229107;car;1229107:car;default_car;Crit'air 1;Gazole;0;6
1246751;car;1246751:car;default_car;Crit'air 1;Gazole;0;6
1246750;car;1246750:car;default_car;Crit'air 1;Gazole;0;6
1274055;car;1274055:car;default_car;Crit'air 1;Gazole;0;6
1294765;car;1294765:car;default_car;Crit'air 1;Gazole;0;6
1294764;car;1294764:car;default_car;Crit'air 1;Gazole;0;6
1315612;car;1315612:car;default_car;Crit'air 1;Gazole;0;6
1315611;car;1315611:car;default_car;Crit'air 1;Gazole;0;6
1356010;car;1356010:car;default_car;Crit'air 1;Gazole;0;6
